"NO_ALUNO";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA";"NU_CPF"
"smhKKs wmqarQ TcUkRL";"368537";"CONCLUÍDA";26107269933
"iEvrmc nhRHHN GhtaJz";"368537";"CONCLUÍDA";53019103754
"VYwrzE UAHlsf apMPDV";"368537";"CONCLUÍDA";9601670589
"wULARE yAHvmS wtjMOz";"368537";"ABANDONO";71251865583
"LgoOSq KfItsc Baxuos";"368537";"CONCLUÍDA";52198073201
"jPUtkP vnEGRY qLZuMR";"368537";"CONCLUÍDA";85469208609
"VFBFbf VvWrpR QrCTow";"368537";"CONCLUÍDA";2957659627
"oJIzAs pccIap lGMgZJ";"368537";"ABANDONO";19157581618
"fYjnNS xKhbgY wlcDAd";"368537";"ABANDONO";79259409521
"rSTykK CkvlWt bcCpXO";"368537";"CONCLUÍDA";7500148796
"fIvCYj bHdqjx fzNTLn";"368537";"ABANDONO";77776260742
"wcngPK WIsEBJ hGEiYC";"368537";"ABANDONO";91299472755
"keiryS kOLjpy SMNJOb";"368537";"ABANDONO";25342041339
"OsuRTR WrMRZz sYAMRj";"368537";"ABANDONO";5905895278
"XsgJco IkOpdg HCvgEI";"368537";"ABANDONO";35474581708
"yrVDZH XwOSsC AtfLPZ";"368537";"ABANDONO";56851682814
"UZMzld achEvp NNNSsb";"368537";"CONCLUÍDA";26021458299
"jNoqcc YwdZXR BEIUBn";"368537";"ABANDONO";2815905480
"MWGGKk VCNRKY HoYyCb";"368537";"ABANDONO";22137989283
"FQYAZK EwiZcy oqXqgI";"368537";"ABANDONO";82145427811
"zPDJNu oOfgeG ryJUig";"368537";"CONCLUÍDA";93544897268
"gYxAHf OoWYQA QnfgUm";"368537";"ABANDONO";4409562790
"IkzVnk NabAkV hXKHfg";"368537";"ABANDONO";49215431262
"zWPCWW tTstgt rtXTqV";"368537";"CONCLUÍDA";75556471729
"TxegiT LLQWGH CYnCis";"368537";"ABANDONO";7855618120
"LYaApT ZNumXV EeliFT";"368537";"ABANDONO";45915329013
"HmuXTW mInOKr izmUcD";"368537";"ABANDONO";38649225238
"Dbsjej DJEAgq UzVtWn";"368537";"ABANDONO";66197071649
"NMUAsi rqDjhI MWuRCA";"368537";"ABANDONO";34579673612
"OlOZRC COOKxo hJCpTL";"368537";"CONCLUÍDA";33769176964
"ZzFxmh vcANfa DgfOSj";"368537";"ABANDONO";86420621315
"xAOwMs BtqLZO lEPKzw";"368537";"CONCLUÍDA";39425052265
"lqAmZK AulFmP LdVCnk";"368537";"CONCLUÍDA";76545656274
"VdekON ZxlqJE ZdqNVS";"368537";"ABANDONO";44972641531
"JtoNry QziOig gfMwVc";"368537";"ABANDONO";36186357753
"zDwFZH RCIjiD xwJVaF";"368537";"CONCLUÍDA";19703815948
"Tllqgd IiHGFg FUSrkH";"368537";"CONCLUÍDA";72190357352
"VLIjYB GdNxfQ OSykWx";"368537";"CONCLUÍDA";19771136653
"cPtsxP YOLGaM dmHzVs";"368537";"CONCLUÍDA";1343738914
"aVUdyB BOtTqw ORggAG";"368537";"CONCLUÍDA";52527439162
"MwzXXY EwmKTI MdutAi";"368537";"CONCLUÍDA";18602289814
"yZGiDE bepcYj sWCjOw";"368537";"ABANDONO";30876418930
"oHwhzS wYWbyE EjlxOa";"368537";"ABANDONO";82318783248
"btcnEN FwgELE WloLFB";"368537";"ABANDONO";29483881212
"XMerdx IQwkCW cLqYSE";"368537";"ABANDONO";88178071361
"zYslgg ZPSQYA BCmWAi";"368537";"ABANDONO";75511903158
"RoOqEM VpIvFm BiFMMf";"368537";"ABANDONO";82595964758
"TqnLvv tEwsez BwODdE";"368537";"CONCLUÍDA";78516216736
"MqVRui tykncT JseJip";"368537";"ABANDONO";77679547606
"MezPmL amwcnH FyofeW";"368537";"ABANDONO";54175873085
"xIvKnJ UuHIoQ CZGtBu";"368537";"CONCLUÍDA";25346448538
"Exucow plnbAF misyGg";"368537";"CONCLUÍDA";24954719223
"lbINrx EsjgQB pYkTFF";"368537";"CONCLUÍDA";66159790043
"QFcZTE JMgLLw qUqYBn";"368537";"DESLIGADO";82604997235
"ZXpZNS TkEGck DhtaXb";"368537";"ABANDONO";97519424115
"jyQBPa IAfzQj yqaBhG";"368537";"ABANDONO";49261921963
"dbekxw xnVDbQ hfSiIE";"368537";"CONCLUÍDA";46163621725
"igPpVk ztxTND nqcmoD";"368537";"CONCLUÍDA";82191234681
"cNBkdz dTABEC gdDkvA";"368537";"ABANDONO";20167207902
"WKFKsP kXRQcO ohNwcZ";"368537";"ABANDONO";62827990690
"GANgpz idriWc LqCAhD";"368537";"ABANDONO";32777724856
"ntawai uZMewa vrtWdE";"368537";"ABANDONO";14918554393
"fpVDtR MPIRGi RvuplA";"368537";"ABANDONO";73576979704
"ZYGfSz GFZRUF xzLRFB";"368537";"ABANDONO";42046380993
"gjgvwn KCDGEd NqizcD";"368537";"ABANDONO";67753865109
"FUlkSG PcRiAz vjuKeR";"368537";"DESLIGADO";73081781183
"YtmiBP LljByG BGnybY";"368537";"CONCLUÍDA";48231772291
"zloVwU RjdIRI lzkDbw";"368537";"ABANDONO";36694545935
"pOtpAZ xhuoLR MaBxKK";"368537";"ABANDONO";75026201735
"YPjRrW gusmIn hxMmed";"368537";"ABANDONO";44705488612
"mvEhnU VFxSsV TYhxaq";"368537";"ABANDONO";68252972475
"NiRfPw ZuKvTk ehCaOl";"368537";"CONCLUÍDA";48780795015
"zMetLx KPEwCC abIyQw";"368537";"CONCLUÍDA";46472396457
"careNt YoCxtf NKPiqN";"368537";"CONCLUÍDA";29015158147
"DkKhRU zfuRdW zePeEH";"368537";"CONCLUÍDA";72532096253
"WRZCVn wVsemi fVEMow";"368537";"DESLIGADO";89955075217
"VdKZHF ZJrNrA IyqBQW";"368537";"ABANDONO";1458537662
"bwndnx GJDBjD eJhtXV";"368537";"CONCLUÍDA";61969482992
"OBaVgz xuuYdY Whshic";"368537";"ABANDONO";78258975880
"mHjyXr cdPLiX LmkYPq";"368537";"ABANDONO";95280817994
"TkTRbJ QsyKQP lXhmLZ";"521784";"ABANDONO";91669686934
"LLEsNC ICoCcu qHsigh";"521784";"ABANDONO";45048950485
"LLEsNC ICoCcu qHsigh";"1938722";"ABANDONO";45048950485
"ncHEvW ISqyOk PwtjMm";"521784";"ABANDONO";4786283930
"asSPRr MzNnza CSjcdM";"521784";"ABANDONO";47164418295
"jDPjbk oEMlzG ObAJeB";"521784";"CONCLUÍDA";50445429022
"akWhMw Cdnzsd PyeQnw";"521784";"ABANDONO";4065126310
"ldcvGd dmkMMK SacVMV";"521784";"CONCLUÍDA";35758585722
"kpgovw lCEpuH BjKZCj";"521784";"ABANDONO";91216128366
"zgbuXV UNFVbg RoZuAW";"521784";"CONCLUÍDA";63762897230
"pmEiYF vumSmu bFvLdV";"521784";"ABANDONO";90116874059
"BAnSyj BfKwSi DSgCrS";"521784";"ABANDONO";13295155957
"SQaeeB CQhQTh DvnTPL";"521784";"ABANDONO";62021505363
"VFVaHY hUreNf akBmGX";"521784";"CONCLUÍDA";82894414557
NA;NA;NA;24981728787
"EMDVuP ZzMdhA gjFcxp";"521784";"ABANDONO";11788173636
"jLdShP dUxflJ YsRaxp";"521784";"ABANDONO";47050101479
"azKWLF sAEnJM EuLsRU";"521784";"ABANDONO";68537766582
"zHbfpH UqGUdP OXYTJz";"521784";"ABANDONO";14167000808
"MoySRF SJZBDG yBzmMO";"521784";"CONCLUÍDA";30729510898
"AKBPjz YFefSw qTZKzm";"521784";"ABANDONO";9783959633
"pFUnpy RWEXmx IsdfPU";"521784";"CONCLUÍDA";17546859223
"ZnKtzb QyjlfX DbkEGZ";"521784";"CONCLUÍDA";66244927971
"rKRzKO ZEHGRf XMeqmv";"521784";"ABANDONO";26659333541
"FRkgxX XQfrPm eqkguy";"521784";"ABANDONO";60331529656
"VTfJws CgcADz FhEjvb";"521784";"ABANDONO";89579027105
"dgPpan lBBINc lZtnYU";"521784";"ABANDONO";93471059036
"dtSuKy FBGVpV PNmocs";"521784";"ABANDONO";24820310245
"JyzpCO InaErM dEWgtj";"521784";"ABANDONO";44652187822
"bhbUKC WnOccA THORXY";"521784";"ABANDONO";78672828271
"NTQAAI nYfzQu qFiySc";"521784";"ABANDONO";41854699046
"dotjRr rdyyZa iOfrhT";"521784";"CONCLUÍDA";93531835918
"kxgGrb smCmip fFokEc";"521784";"ABANDONO";64352142722
"iRNAvZ VOJCvF jJZtno";"521784";"ABANDONO";52979711827
"NwBgzM qTEBRN CXnwdW";"521784";"CONCLUÍDA";2143199651
"dPoyhT Wtzzwr cQiHou";"521784";"CONCLUÍDA";34853653782
"BsEWTq Xpocyn zYYQCd";"521784";"ABANDONO";88983945839
"eyUriI yHpBQO uFMxUC";"521784";"DESLIGADO";38329402638
"dcDikN RDDlsG evlWUc";"521784";"CONCLUÍDA";51837107948
"HAtRqL SQeDTt UzCeUj";"521784";"ABANDONO";1845574740
"MKtgkL NqnEZm kChpbR";"521784";"CONCLUÍDA";81930996941
"nXZeha KyrEUR HhlIiv";"521784";"ABANDONO";89283037567
"RumPIw WFDwtY hWugLZ";"521784";"CONCLUÍDA";18274194861
"vJlIwW JOezSS ONqvkd";"521784";"ABANDONO";63374910804
"YScKlI BXFHSD gYDXzv";"521784";"ABANDONO";44331164095
"kCpLvN WMaKCD AsVofb";"521784";"CONCLUÍDA";15781768262
"XgjmJo uRjgCO smQJqa";"521784";"CONCLUÍDA";27301560121
"ZsatUy btdWWz NqdTEq";"521784";"CONCLUÍDA";80641580558
"lEbZcZ MWuRhs qIWQxW";"521784";"ABANDONO";62964069710
"JhYhml oKOUVk QwidxR";"521784";"ABANDONO";16007170028
"ecSDdx jEhKYm sadmkl";"521784";"ABANDONO";65175533060
"BbvRZq UdwyZp OxyVNL";"521784";"CONCLUÍDA";38992767138
"axymvk HNNjCH GnqCkh";"521784";"CONCLUÍDA";92590124083
"bkpzAL rCHEXr iRYwRo";"521784";"CONCLUÍDA";63174695778
"JafeDp OFYAOa tdDiBu";"521784";"DESLIGADO";34578870859
"iRsWfZ DJvZlV cgRSnx";"521784";"ABANDONO";89628706381
"llnnmQ WButdm ilCStf";"521784";"ABANDONO";4213632924
"VCFVIR AYnEWt YAOYkr";"521784";"CONCLUÍDA";69724870981
"LnsXxC ehVAfz VAZNMf";"521784";"ABANDONO";36471998448
"lXBRLN FPiCKS WRNEDl";"521784";"ABANDONO";11470950727
"FWFMEF rnJFyA tSLvxu";"521784";"DESLIGADO";36409293393
"HmOIMg eneFAM SVIYVN";"521784";"CONCLUÍDA";49735719096
"bgKILh DvLPam BnQneq";"521784";"CONCLUÍDA";47886285972
"OZzowg sgHxzJ MQJsaf";"521784";"ABANDONO";32898896231
"ppouEl gbDAVa VLzRWq";"521784";"ABANDONO";22437001526
"KxKeps kPynJG QNdkBd";"521784";"CONCLUÍDA";54401045687
"CkBulR MjIVXN ptTZnU";"521784";"ABANDONO";65318613703
"WNDAJh HgwcAp xPsmgM";"521784";"CONCLUÍDA";20915014533
"mPbePz IjOifn qDhrjP";"521784";"ABANDONO";60671734952
"EfOhhy BjFhUd IfLIyG";"521784";"CONCLUÍDA";8923415412
"rcoAXd pTyDgi NFufmF";"521784";"CONCLUÍDA";28822046276
"VxBSuy cRHjwd vNNOEx";"521784";"CONCLUÍDA";59945726303
"AwBSFR PwKjFk daxvNt";"521784";"CONCLUÍDA";54050367019
"eCptHL luVaHE qHBrUH";"521784";"CONCLUÍDA";93919415522
"ARBHSu pSRafl KZTcTZ";"521784";"CONCLUÍDA";32820032191
"jwboKS AWWhxq OYrtga";"521784";"ABANDONO";15159839337
"ERWTcy BsFVWk OxcUyI";"808519";"ABANDONO";9732073250
"AxoOkO jpixTp xaLAOk";"808519";"DESLIGADO";49570577551
"dazaRL CJBalZ RqmKce";"808519";"DESLIGADO";18279904788
"izVphx cafGfZ VHpAPQ";"808519";"CONCLUÍDA";45067297414
"yFZScT Cktzlt SqNNWt";"808519";"ABANDONO";16062486079
